Icon,Correct,Almost_Correct,Doubtful,Incorrect,Opposite,No_answer
man,171,9,15,3,0,9
woman,171,9,8,5,0,12
assembly_couple,28,79,9,8,0,13
disabled,147,9,4,0,0,5
assembly_group,167,9,10,11,0,7
assembly_family,190,9,4,0,0,8
girl,3,10,18,128,15,36
boy,12,144,10,27,1,11
authority_instruction,50,137,16,1,0,5
help_others,109,37,51,8,1,4
keep_safe,139,46,19,1,0,4
evacuate_vertical,79,108,7,7,0,5
evacuate_downstairs,107,83,17,0,0,4
evacuate_male_pedestrian,18,122,12,2,0,12
evacuate_female_pedestrian,72,90,15,15,0,13
evacuate,70,63,23,45,0,9
evacuate_fast,99,66,21,15,0,5
evacuate_way_out,155,2,1,0,2,6
move_to_shelter,61,99,22,9,6,15
warning_tsunami_risk,112,38,1,11,0,4
warning_evacuation_way,31,59,27,9,1,10
warning_volcano_risk,69,59,1,1,0,7
warning_sign,114,17,7,15,0,52
authorities,9,148,11,9,0,28
food,171,26,9,9,1,8
water,129,8,10,28,4,26
geo_point,110,20,4,1,0,2
map_point,64,74,7,1,0,20
school,15,64,50,55,0,27
hospital,142,17,0,1,0,4
local_authority_bldg,91,18,37,49,0,14
orientation,139,30,20,8,0,9
network,76,16,20,75,0,37
radio,145,8,1,0,0,9
mobile_info,99,28,4,1,0,5
mobile_message,206,10,11,0,0,0
mobile_call,61,79,11,8,0,7
house,192,10,11,9,0,2
shelter,94,43,21,1,0,7
temperature,184,12,5,1,0,4
time,120,32,3,1,0,10
volcano_fumarole,96,103,1,1,0,4
volcano_eruption,108,54,0,0,0,4
volcano_ashes,124,62,6,15,0,2
tsunami,99,22,21,12,0,12
earthquake,161,16,16,10,0,8
rainfall,152,5,1,0,0,4
alluvium,114,72,5,12,0,2
avalanche,149,20,24,34,1,0
forbidden,122,13,8,11,0,12
flood,146,7,23,30,11,7
fire,113,5,7,7,0,7
info_point,101,93,3,1,0,7
not_allowed,201,2,0,2,0,4
messaging_oneway,19,99,4,3,0,12
messaging_twoways,140,49,8,3,0,5
information,126,2,0,2,0,7
north_sign,161,5,1,11,0,27
flagged_point,31,54,14,19,0,19
wifi,119,8,12,53,2,17
internet,181,6,1,6,0,11
radio_transmission,115,32,25,35,0,5
contain_message,67,42,9,3,0,16
warning_strip_1,32,7,14,109,2,45
warning_strip_2,58,113,16,9,0,9
arrow_ahead,64,6,52,2,0,13
arrow_turn,126,12,14,5,1,4
arrow_backward,183,15,7,3,0,3
two_way_horizontal,85,12,26,7,2,5
two_way_vertical,93,29,19,15,1,9
contain_directional,63,75,6,1,1,20
contain_hexagon,10,5,29,41,0,52
